size_group,scale,val_dominant_scale,test_dominant_scale,val_total_objects,test_total_objects,combined_count,combined_share,rank_within_size_group
small,P3,P3,P3,465,519,645,0.655488,1
small,P4,P3,P3,465,519,157,0.159553,2
small,P5,P3,P3,465,519,157,0.159553,3
small,P2,P3,P3,465,519,25,0.025407,4
medium,P5,P5,P5,595,549,562,0.491259,1
medium,P4,P5,P5,595,549,364,0.318182,2
medium,P3,P5,P5,595,549,210,0.183566,3
medium,P2,P5,P5,595,549,8,0.006993,4
large,P5,P5,P5,62,31,70,0.752688,1
large,P3,P5,P5,62,31,14,0.150538,2
large,P4,P5,P5,62,31,8,0.086022,3
large,P2,P5,P5,62,31,1,0.010753,4
