epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.861,3.12364,5.37719,3.82721,0.20184,0.02825,0.01355,0.00337,2.71105,5.80217,3.19086,0.000368931,0.000368931,0.000368931
2,232.398,2.57292,4.25134,2.99307,0.02961,0.0885,0.0182,0.00486,2.41761,4.38863,2.93668,0.000731945,0.000731945,0.000731945
3,348.442,2.34536,3.72281,2.75648,0.43553,0.06318,0.0421,0.01277,2.28692,4.01947,2.77715,0.00108763,0.00108763,0.00108763
4,463.942,2.26728,3.49062,2.63399,0.13557,0.13582,0.06603,0.02272,2.34512,3.92243,2.86634,0.001078,0.001078,0.001078
5,579.444,2.16863,3.28322,2.55084,0.23836,0.18964,0.12045,0.04851,2.2686,3.5383,2.71568,0.001067,0.001067,0.001067
6,694.97,2.10613,3.12882,2.48386,0.22076,0.27007,0.14153,0.04738,2.13317,3.53074,2.60098,0.00105601,0.00105601,0.00105601
7,810.366,2.06682,3.01141,2.40679,0.19352,0.25624,0.14119,0.0502,2.06833,3.2482,2.51875,0.00104501,0.00104501,0.00104501
8,925.638,2.01594,2.93104,2.37084,0.34161,0.20133,0.19478,0.07385,2.09268,3.27918,2.49826,0.00103401,0.00103401,0.00103401
9,1041.15,1.96377,2.84539,2.31426,0.2968,0.33281,0.22913,0.09117,2.0439,3.06168,2.484,0.00102301,0.00102301,0.00102301
10,1156.47,1.94032,2.71811,2.27166,0.32716,0.30842,0.25749,0.10686,2.01549,2.84683,2.48298,0.00101201,0.00101201,0.00101201
11,1272.04,1.91652,2.66337,2.26385,0.32706,0.36779,0.28977,0.11779,1.9548,2.83377,2.41032,0.00100101,0.00100101,0.00100101
12,1387.55,1.88612,2.6198,2.22416,0.35548,0.38045,0.3162,0.12541,1.94343,2.68973,2.40256,0.000990012,0.000990012,0.000990012
13,1503.2,1.87702,2.59587,2.2206,0.43325,0.36878,0.36391,0.15854,2.04173,2.6576,2.50474,0.000979013,0.000979013,0.000979013
14,1618.71,1.85803,2.52277,2.1954,0.32658,0.41157,0.3201,0.13362,1.92977,2.58015,2.4152,0.000968014,0.000968014,0.000968014
15,1734.01,1.83475,2.46922,2.17993,0.40704,0.38819,0.37951,0.15896,1.97885,2.53704,2.40791,0.000957015,0.000957015,0.000957015
16,1849.48,1.83723,2.41782,2.17085,0.39548,0.4617,0.39227,0.17387,1.87456,2.48495,2.32717,0.000946016,0.000946016,0.000946016
17,1965.03,1.80457,2.40114,2.15386,0.37592,0.42148,0.40046,0.18075,1.92358,2.48694,2.36325,0.000935018,0.000935018,0.000935018
18,2080.27,1.80306,2.38382,2.14075,0.39496,0.44576,0.41118,0.18447,1.91689,2.47225,2.36836,0.000924019,0.000924019,0.000924019
19,2195.82,1.79033,2.34424,2.13446,0.43586,0.45214,0.42939,0.19158,1.88209,2.44509,2.33517,0.00091302,0.00091302,0.00091302
20,2311.27,1.77772,2.2877,2.10674,0.43583,0.48345,0.45944,0.20286,1.89513,2.34618,2.35359,0.000902021,0.000902021,0.000902021
21,2426.58,1.76803,2.26635,2.08706,0.45161,0.46643,0.46331,0.21262,1.84378,2.2741,2.29542,0.000891022,0.000891022,0.000891022
22,2542.04,1.74137,2.25306,2.0933,0.44672,0.47546,0.45084,0.21346,1.88224,2.38038,2.32524,0.000880023,0.000880023,0.000880023
23,2657.44,1.7356,2.2159,2.0755,0.47261,0.44506,0.44619,0.19602,1.90399,2.36488,2.33763,0.000869024,0.000869024,0.000869024
24,2772.7,1.72957,2.20315,2.06906,0.46548,0.49503,0.49198,0.23477,1.81638,2.23114,2.26961,0.000858025,0.000858025,0.000858025
25,2888.06,1.71992,2.14538,2.06155,0.45138,0.47374,0.46486,0.21072,1.87228,2.24527,2.30202,0.000847026,0.000847026,0.000847026
26,3003.29,1.72137,2.14175,2.06091,0.58979,0.52555,0.53364,0.25089,1.841,2.17104,2.25682,0.000836027,0.000836027,0.000836027
27,3118.63,1.71435,2.0953,2.04994,0.5182,0.50972,0.5021,0.23557,1.85861,2.16636,2.28788,0.000825029,0.000825029,0.000825029
28,3233.61,1.6946,2.06882,2.02849,0.55353,0.5086,0.54021,0.25416,1.83352,2.06709,2.25246,0.00081403,0.00081403,0.00081403
29,3348.94,1.68612,2.05475,2.01008,0.57142,0.47485,0.52387,0.23555,1.87426,2.11781,2.2905,0.000803031,0.000803031,0.000803031
30,3464.38,1.69042,2.01744,2.01459,0.56075,0.51099,0.53478,0.2568,1.82321,2.07317,2.24369,0.000792032,0.000792032,0.000792032
31,3580,1.69172,2.01386,2.02753,0.55278,0.545,0.55707,0.25434,1.82065,2.02725,2.24036,0.000781033,0.000781033,0.000781033
32,3695.61,1.66487,1.99444,1.98908,0.5552,0.52676,0.54356,0.26687,1.79179,2.07019,2.20727,0.000770034,0.000770034,0.000770034
33,3810.94,1.65494,1.97386,1.99022,0.56375,0.56653,0.57669,0.26651,1.84078,1.98437,2.24201,0.000759035,0.000759035,0.000759035
34,3926.33,1.63604,1.92817,1.97557,0.58386,0.50099,0.56688,0.26813,1.81886,2.09676,2.22436,0.000748036,0.000748036,0.000748036
35,4041.93,1.65271,1.93815,1.97454,0.60349,0.58014,0.60392,0.28875,1.80671,1.98674,2.22768,0.000737037,0.000737037,0.000737037
36,4157.49,1.6288,1.90622,1.9607,0.57936,0.56591,0.57229,0.26548,1.83466,1.98033,2.2573,0.000726038,0.000726038,0.000726038
37,4272.92,1.64615,1.89845,1.96606,0.5843,0.54797,0.56205,0.25826,1.8699,2.05412,2.27028,0.00071504,0.00071504,0.00071504
38,4388.47,1.62724,1.88923,1.96263,0.59273,0.53356,0.56183,0.26452,1.82823,2.01834,2.24317,0.000704041,0.000704041,0.000704041
39,4503.97,1.61786,1.8606,1.95311,0.60203,0.55146,0.59297,0.28427,1.79983,1.93932,2.22161,0.000693042,0.000693042,0.000693042
40,4619.4,1.61105,1.82652,1.94121,0.59418,0.59988,0.60573,0.28956,1.81289,1.94168,2.22505,0.000682043,0.000682043,0.000682043
41,4735.07,1.60787,1.84105,1.93336,0.61279,0.56983,0.60665,0.29257,1.81692,1.94904,2.21429,0.000671044,0.000671044,0.000671044
42,4850.45,1.59363,1.78959,1.92617,0.61906,0.56832,0.61592,0.3001,1.80032,1.85752,2.21273,0.000660045,0.000660045,0.000660045
43,4966.27,1.59844,1.78292,1.9278,0.57464,0.59116,0.60269,0.29403,1.83424,1.92328,2.22653,0.000649046,0.000649046,0.000649046
44,5081.6,1.57038,1.76974,1.89315,0.60879,0.59524,0.60181,0.2971,1.82437,1.9069,2.22175,0.000638047,0.000638047,0.000638047
45,5196.86,1.59113,1.7681,1.92047,0.63977,0.56005,0.62258,0.29204,1.8145,1.87498,2.22346,0.000627048,0.000627048,0.000627048
46,5312.07,1.55948,1.73572,1.90058,0.61694,0.58136,0.61532,0.30197,1.78625,1.86079,2.21293,0.000616049,0.000616049,0.000616049
47,5427.51,1.55471,1.71812,1.8934,0.5795,0.59933,0.60123,0.28904,1.81341,1.87134,2.21747,0.000605051,0.000605051,0.000605051
48,5542.69,1.55797,1.71339,1.88396,0.64698,0.56908,0.61874,0.3008,1.80923,1.84397,2.24061,0.000594052,0.000594052,0.000594052
49,5657.94,1.53583,1.67362,1.86236,0.63527,0.57049,0.61257,0.30071,1.80351,1.86943,2.21105,0.000583053,0.000583053,0.000583053
50,5773.34,1.55059,1.68082,1.87584,0.65549,0.57381,0.62184,0.31059,1.79411,1.81736,2.19578,0.000572054,0.000572054,0.000572054
51,5888.88,1.53774,1.66444,1.86128,0.6059,0.61357,0.62669,0.30031,1.82128,1.83045,2.23212,0.000561055,0.000561055,0.000561055
52,6004.47,1.52242,1.642,1.8529,0.6289,0.61121,0.62911,0.30372,1.78908,1.80563,2.19357,0.000550056,0.000550056,0.000550056
53,6119.7,1.52979,1.65096,1.85217,0.65676,0.57306,0.63323,0.30933,1.80583,1.79718,2.20015,0.000539057,0.000539057,0.000539057
54,6235,1.52845,1.62912,1.85428,0.65243,0.57332,0.63159,0.3111,1.83206,1.8149,2.23042,0.000528058,0.000528058,0.000528058
55,6350.56,1.53394,1.62413,1.85276,0.65375,0.58553,0.62855,0.30682,1.78948,1.81088,2.19543,0.000517059,0.000517059,0.000517059
56,6465.76,1.50385,1.57984,1.8285,0.65914,0.62237,0.65632,0.32759,1.77978,1.74882,2.19285,0.00050606,0.00050606,0.00050606
57,6581.25,1.48658,1.54614,1.81598,0.67733,0.58014,0.63191,0.31121,1.81646,1.73767,2.22228,0.000495062,0.000495062,0.000495062
58,6696.54,1.49939,1.55429,1.82462,0.64603,0.6334,0.66843,0.32321,1.80349,1.71413,2.19668,0.000484063,0.000484063,0.000484063
59,6812.03,1.48568,1.54415,1.80981,0.62375,0.64903,0.66122,0.32144,1.81469,1.71758,2.21883,0.000473064,0.000473064,0.000473064
60,6927.68,1.47929,1.54102,1.81462,0.65456,0.63095,0.65496,0.31927,1.80128,1.75202,2.21891,0.000462065,0.000462065,0.000462065
61,7043.23,1.47268,1.4917,1.80028,0.64434,0.64518,0.6701,0.33162,1.78616,1.67317,2.19401,0.000451066,0.000451066,0.000451066
62,7158.93,1.4837,1.52736,1.80586,0.66337,0.62647,0.67247,0.3383,1.78833,1.69141,2.18117,0.000440067,0.000440067,0.000440067
63,7274.37,1.47045,1.49771,1.80696,0.64199,0.63299,0.65972,0.32639,1.79833,1.69565,2.19454,0.000429068,0.000429068,0.000429068
