epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.108,3.12686,5.38801,3.80842,0.03235,0.08875,0.01199,0.00295,2.82277,32.3115,3.49157,0.000368977,0.000368977,0.000368977
2,243.438,2.58605,4.25436,2.99251,0.07741,0.09207,0.02732,0.00784,2.60181,4.56505,3.07444,0.000731991,0.000731991,0.000731991
3,363.243,2.3871,3.82371,2.81545,0.32941,0.21235,0.04915,0.0138,2.43188,4.10301,2.8767,0.00108767,0.00108767,0.00108767
4,483.137,2.27543,3.53697,2.68881,0.25023,0.14383,0.0881,0.02754,2.10283,3.71591,2.67636,0.001078,0.001078,0.001078
5,602.712,2.18572,3.36969,2.59796,0.43726,0.17642,0.14351,0.04436,2.12692,3.22024,2.64752,0.001067,0.001067,0.001067
6,722.636,2.10791,3.2471,2.51263,0.28783,0.22131,0.1632,0.05407,2.12998,3.36784,2.63571,0.00105601,0.00105601,0.00105601
7,842.345,2.06661,3.11408,2.46032,0.42695,0.24327,0.20294,0.07562,1.93985,2.87226,2.44638,0.00104501,0.00104501,0.00104501
8,962.284,2.01564,3.0531,2.41092,0.32008,0.27507,0.24602,0.09771,1.88696,2.85711,2.37452,0.00103401,0.00103401,0.00103401
9,1082.12,1.98991,2.96702,2.38092,0.33244,0.32139,0.27981,0.10344,1.9208,2.76785,2.42645,0.00102301,0.00102301,0.00102301
10,1202.03,1.98456,2.90615,2.35104,0.30329,0.39254,0.29246,0.11484,1.87092,2.65329,2.32734,0.00101201,0.00101201,0.00101201
11,1322.01,1.95898,2.83463,2.32488,0.29731,0.35841,0.28714,0.11101,1.88464,2.75878,2.36081,0.00100101,0.00100101,0.00100101
12,1441.73,1.92909,2.77231,2.28995,0.37743,0.36262,0.32056,0.13253,1.81875,2.56064,2.26565,0.000990012,0.000990012,0.000990012
13,1561.54,1.91052,2.71763,2.26386,0.34825,0.37549,0.31106,0.12577,1.90862,2.5604,2.32962,0.000979013,0.000979013,0.000979013
14,1681.23,1.90133,2.68525,2.25171,0.39546,0.43893,0.36736,0.14917,1.81698,2.43351,2.24767,0.000968014,0.000968014,0.000968014
15,1800.92,1.8765,2.6103,2.21717,0.40749,0.40449,0.37,0.15272,1.79159,2.35995,2.22362,0.000957015,0.000957015,0.000957015
16,1920.76,1.8511,2.57553,2.20106,0.40659,0.42759,0.39369,0.16225,1.79386,2.42065,2.20036,0.000946016,0.000946016,0.000946016
17,2040.56,1.85213,2.56643,2.18758,0.44323,0.42083,0.41377,0.17559,1.80622,2.32578,2.21948,0.000935018,0.000935018,0.000935018
18,2160.34,1.84692,2.51916,2.18111,0.41258,0.45245,0.3998,0.1701,1.84249,2.27467,2.24392,0.000924019,0.000924019,0.000924019
19,2279.77,1.8268,2.47561,2.16652,0.49279,0.45621,0.45212,0.19532,1.79052,2.16334,2.17601,0.00091302,0.00091302,0.00091302
20,2399.66,1.80732,2.45025,2.15088,0.48844,0.50611,0.45921,0.20662,1.71658,2.23021,2.15204,0.000902021,0.000902021,0.000902021
21,2519.88,1.81408,2.42317,2.14201,0.46261,0.45139,0.44377,0.19943,1.76873,2.23365,2.15175,0.000891022,0.000891022,0.000891022
22,2640.34,1.80408,2.38517,2.12973,0.48057,0.51388,0.46166,0.21311,1.6842,2.12015,2.11377,0.000880023,0.000880023,0.000880023
23,2760.31,1.78721,2.36259,2.13483,0.50975,0.48517,0.50061,0.21958,1.78634,2.11562,2.20657,0.000869024,0.000869024,0.000869024
24,2880.27,1.76999,2.32743,2.10694,0.51819,0.47562,0.46506,0.21045,1.76354,2.18626,2.16439,0.000858025,0.000858025,0.000858025
25,3000.34,1.75383,2.29872,2.09024,0.55014,0.53239,0.54645,0.25251,1.70706,2.0927,2.14012,0.000847026,0.000847026,0.000847026
26,3120.6,1.75279,2.29574,2.09536,0.53524,0.48366,0.51107,0.2285,1.71841,2.00365,2.14543,0.000836027,0.000836027,0.000836027
27,3240.44,1.74603,2.27158,2.08233,0.52464,0.52088,0.50515,0.22947,1.73336,2.02549,2.12916,0.000825029,0.000825029,0.000825029
28,3360.5,1.73733,2.22561,2.06294,0.54853,0.55528,0.55008,0.26225,1.68227,1.96407,2.08646,0.00081403,0.00081403,0.00081403
29,3480.76,1.72576,2.22388,2.05438,0.54505,0.52973,0.52492,0.2485,1.68274,2.00543,2.06224,0.000803031,0.000803031,0.000803031
30,3600.79,1.72206,2.19533,2.04672,0.5883,0.54704,0.56588,0.27291,1.6975,1.89847,2.10085,0.000792032,0.000792032,0.000792032
31,3721.13,1.72472,2.16276,2.04592,0.56168,0.528,0.55712,0.26525,1.65949,1.94813,2.05495,0.000781033,0.000781033,0.000781033
32,3841.17,1.69676,2.14707,2.02882,0.55705,0.54078,0.56205,0.27647,1.66079,1.92118,2.05901,0.000770034,0.000770034,0.000770034
33,3961.69,1.70052,2.13137,2.02207,0.5218,0.55281,0.52722,0.24943,1.68671,1.96014,2.08228,0.000759035,0.000759035,0.000759035
34,4082.34,1.68824,2.09029,2.02121,0.59415,0.54364,0.57431,0.28171,1.66237,1.83293,2.08786,0.000748036,0.000748036,0.000748036
35,4202.6,1.69487,2.10959,2.00739,0.59173,0.59212,0.60685,0.29745,1.63538,1.82957,2.04926,0.000737037,0.000737037,0.000737037
36,4322.95,1.69068,2.08759,2.0148,0.60422,0.55798,0.57858,0.28201,1.68632,1.81425,2.0582,0.000726038,0.000726038,0.000726038
37,4443.27,1.67873,2.06855,1.99493,0.56322,0.58654,0.58354,0.2846,1.68415,1.85211,2.06721,0.00071504,0.00071504,0.00071504
38,4563.32,1.67204,2.05241,1.99734,0.61617,0.58243,0.60206,0.30123,1.66097,1.82544,2.04838,0.000704041,0.000704041,0.000704041
39,4683.41,1.658,2.03744,1.97975,0.65446,0.6012,0.63829,0.30917,1.67363,1.77256,2.08,0.000693042,0.000693042,0.000693042
40,4803.71,1.67337,2.0052,1.986,0.60138,0.61101,0.61262,0.3021,1.66986,1.78377,2.06244,0.000682043,0.000682043,0.000682043
41,4924.2,1.65886,2.00034,1.98159,0.64096,0.62417,0.64265,0.32588,1.62237,1.69817,2.02685,0.000671044,0.000671044,0.000671044
42,5044.32,1.65863,1.98615,1.96702,0.58731,0.60804,0.59102,0.29559,1.66105,1.78889,2.05325,0.000660045,0.000660045,0.000660045
43,5164.3,1.64686,1.93901,1.95276,0.65928,0.64391,0.66936,0.349,1.60601,1.66138,2.00067,0.000649046,0.000649046,0.000649046
44,5284.69,1.63411,1.96683,1.9523,0.63999,0.60145,0.63806,0.33555,1.59105,1.68702,1.98596,0.000638047,0.000638047,0.000638047
45,5404.92,1.63626,1.94423,1.95881,0.63538,0.60941,0.65082,0.33001,1.61627,1.6839,2.01094,0.000627048,0.000627048,0.000627048
46,5525.2,1.63066,1.9125,1.95163,0.65563,0.63666,0.67165,0.34135,1.58183,1.63108,1.96577,0.000616049,0.000616049,0.000616049
47,5645.29,1.60886,1.86754,1.91982,0.68973,0.6312,0.68892,0.35016,1.61591,1.60653,1.99325,0.000605051,0.000605051,0.000605051
48,5765.76,1.60651,1.87967,1.92553,0.64237,0.5701,0.61646,0.32245,1.63303,1.72795,2.01972,0.000594052,0.000594052,0.000594052
49,5885.98,1.61851,1.87899,1.92917,0.67745,0.61448,0.6711,0.34692,1.59055,1.58939,1.98437,0.000583053,0.000583053,0.000583053
50,6006.7,1.60447,1.84692,1.91415,0.66769,0.64537,0.68581,0.35767,1.5949,1.56177,2.00068,0.000572054,0.000572054,0.000572054
51,6126.96,1.59269,1.8259,1.92116,0.69134,0.61609,0.67485,0.35151,1.58619,1.58789,1.9841,0.000561055,0.000561055,0.000561055
52,6246.84,1.59656,1.85262,1.91508,0.66113,0.63636,0.66076,0.335,1.61948,1.62862,2.00864,0.000550056,0.000550056,0.000550056
53,6367.02,1.59582,1.81635,1.91706,0.66183,0.62136,0.66651,0.34804,1.5969,1.57665,1.99356,0.000539057,0.000539057,0.000539057
54,6487.18,1.5832,1.79064,1.88955,0.71916,0.61138,0.69337,0.36002,1.59507,1.575,1.97355,0.000528058,0.000528058,0.000528058
55,6607.4,1.5698,1.79209,1.89405,0.72684,0.59723,0.6851,0.36456,1.58019,1.53505,1.96333,0.000517059,0.000517059,0.000517059
56,6727.79,1.5806,1.78844,1.88969,0.66457,0.61467,0.66662,0.34053,1.61027,1.58593,1.98091,0.00050606,0.00050606,0.00050606
57,6848.25,1.56525,1.74108,1.88436,0.70712,0.633,0.69774,0.36759,1.57853,1.51921,1.97323,0.000495062,0.000495062,0.000495062
58,6968.89,1.55754,1.7422,1.8883,0.71413,0.66448,0.70797,0.36667,1.60816,1.5051,1.98875,0.000484063,0.000484063,0.000484063
59,7089.28,1.55042,1.72756,1.87278,0.71054,0.6452,0.70946,0.37608,1.57556,1.49456,1.96967,0.000473064,0.000473064,0.000473064
60,7209.83,1.55541,1.72581,1.87651,0.72347,0.6392,0.70328,0.36666,1.61346,1.46618,2.0039,0.000462065,0.000462065,0.000462065
61,7330.42,1.55291,1.69431,1.87039,0.68929,0.63747,0.70562,0.36793,1.61925,1.50165,2.01559,0.000451066,0.000451066,0.000451066
62,7450.83,1.52799,1.68124,1.84743,0.69791,0.66308,0.71956,0.38243,1.57406,1.46037,1.96529,0.000440067,0.000440067,0.000440067
63,7571.41,1.53612,1.68777,1.85839,0.72791,0.64085,0.70877,0.36758,1.6155,1.50315,1.99893,0.000429068,0.000429068,0.000429068
64,7691.65,1.53181,1.66944,1.84816,0.71955,0.65703,0.71364,0.37564,1.61901,1.47821,1.99501,0.000418069,0.000418069,0.000418069
65,7811.98,1.52906,1.66017,1.85385,0.68748,0.658,0.70629,0.36271,1.61835,1.45891,2.00326,0.00040707,0.00040707,0.00040707
66,7932.33,1.52501,1.63294,1.84485,0.7296,0.64756,0.71866,0.3805,1.59723,1.44892,1.98195,0.000396071,0.000396071,0.000396071
67,8052.71,1.49221,1.62361,1.82319,0.72881,0.63335,0.70202,0.37656,1.58622,1.45508,1.97575,0.000385073,0.000385073,0.000385073
68,8173.18,1.51082,1.60351,1.82725,0.70789,0.6625,0.72184,0.37792,1.61139,1.43083,1.99456,0.000374074,0.000374074,0.000374074
69,8293.78,1.50559,1.61356,1.82104,0.7155,0.65259,0.71425,0.38043,1.59175,1.43817,1.98166,0.000363075,0.000363075,0.000363075
70,8414.39,1.48323,1.57339,1.80403,0.70519,0.69327,0.7224,0.37879,1.60963,1.40903,1.99461,0.000352076,0.000352076,0.000352076
71,8534.96,1.47869,1.56875,1.80763,0.74646,0.64496,0.7193,0.38426,1.59512,1.42767,1.986,0.000341077,0.000341077,0.000341077
72,8655.54,1.48569,1.58669,1.80529,0.74175,0.65156,0.73369,0.38225,1.61661,1.39824,1.99085,0.000330078,0.000330078,0.000330078
73,8775.77,1.48977,1.55448,1.79399,0.74434,0.63799,0.72342,0.38574,1.58488,1.37929,1.97464,0.000319079,0.000319079,0.000319079
74,8896.27,1.47998,1.55921,1.80068,0.74642,0.66691,0.73708,0.39535,1.58424,1.38693,1.97695,0.00030808,0.00030808,0.00030808
75,9016.84,1.47706,1.53958,1.79621,0.73504,0.69316,0.74731,0.39808,1.58377,1.37459,1.97824,0.000297081,0.000297081,0.000297081
76,9137.03,1.44685,1.4881,1.76488,0.73437,0.69189,0.74567,0.39425,1.59111,1.36528,1.977,0.000286083,0.000286083,0.000286083
77,9257.38,1.45754,1.51174,1.77766,0.74195,0.67138,0.73248,0.38438,1.60821,1.37513,2.00028,0.000275084,0.000275084,0.000275084
78,9377.75,1.45899,1.4862,1.77182,0.7605,0.66758,0.74998,0.39224,1.61175,1.35811,2.0041,0.000264085,0.000264085,0.000264085
79,9497.99,1.46116,1.48388,1.77191,0.76066,0.66692,0.7601,0.40287,1.59307,1.36021,1.98973,0.000253086,0.000253086,0.000253086
80,9618.53,1.43154,1.48157,1.75506,0.7542,0.66215,0.74112,0.39929,1.5983,1.37519,1.99613,0.000242087,0.000242087,0.000242087
81,9739,1.43472,1.44457,1.75514,0.71256,0.69203,0.74488,0.39513,1.59528,1.3666,1.99064,0.000231088,0.000231088,0.000231088
82,9859.33,1.44098,1.48679,1.7644,0.74585,0.67043,0.73301,0.38496,1.61193,1.37928,2.011,0.000220089,0.000220089,0.000220089
83,9979.71,1.44229,1.45098,1.76808,0.69877,0.71159,0.73762,0.39064,1.60667,1.37121,2.00832,0.00020909,0.00020909,0.00020909
84,10100.1,1.42222,1.4353,1.74829,0.69374,0.70345,0.73558,0.39038,1.60402,1.34847,2.00263,0.000198091,0.000198091,0.000198091
85,10220.4,1.40856,1.42189,1.7261,0.72727,0.69556,0.74475,0.39565,1.60828,1.3384,2.0042,0.000187092,0.000187092,0.000187092
86,10340.8,1.42008,1.41042,1.7352,0.70858,0.69311,0.73928,0.39508,1.60359,1.33803,2.00242,0.000176094,0.000176094,0.000176094
87,10461.2,1.42021,1.41349,1.74283,0.75394,0.67475,0.74458,0.39764,1.61351,1.33033,2.00562,0.000165095,0.000165095,0.000165095
88,10581.4,1.39993,1.39734,1.72831,0.74739,0.6945,0.75123,0.3971,1.6271,1.32267,2.01635,0.000154096,0.000154096,0.000154096
89,10701.9,1.39909,1.38874,1.72265,0.74441,0.69899,0.75139,0.39247,1.62806,1.32302,2.02159,0.000143097,0.000143097,0.000143097
90,10822.2,1.38472,1.38329,1.70981,0.70505,0.71058,0.74185,0.39189,1.62955,1.33353,2.02388,0.000132098,0.000132098,0.000132098
91,10943.2,1.35249,1.22931,1.71935,0.73631,0.68835,0.74107,0.3948,1.62256,1.33524,2.02063,0.000121099,0.000121099,0.000121099
92,11063.3,1.32365,1.16155,1.7002,0.71515,0.71533,0.73334,0.39169,1.62489,1.31537,2.03637,0.0001101,0.0001101,0.0001101
93,11183.2,1.32021,1.15918,1.71244,0.71429,0.73026,0.74165,0.39486,1.62529,1.30523,2.0427,9.91012e-05,9.91012e-05,9.91012e-05
94,11303,1.30359,1.13788,1.69743,0.72413,0.70461,0.74099,0.3935,1.62858,1.31115,2.045,8.81023e-05,8.81023e-05,8.81023e-05
95,11423.1,1.28528,1.11791,1.67875,0.72967,0.71529,0.74718,0.395,1.63006,1.28979,2.0543,7.71034e-05,7.71034e-05,7.71034e-05
